Name;Footprint;Quantity;Bezeichnung;Mouser
J1,J2;Jack_XLR_Neutrik_NC3FAAV_Vertical;2;NC3FAAV;568-NC3FAAV 
J4,J3;Jack_XLR_Neutrik_NC3MAAV_Vertical;2;NC3MAAV;568-NC3MAAV 
U1,U4;SOIC-16W_7.5x10.3mm_P1.27mm;2;DRV134UA;595-DRV134UA/1K 
C8,C7,C5,C4,C3,C6,C2,C1;C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;8;1u;603-CC603KRX5R8BB105 
U6;SOIC-8_3.9x4.9mm_P1.27mm;1;MC78L12_SO8;863-MC78L12ABDR2G 
C9,C12,C10,C11;CP_Elec_4x4.5;4;10u;710-865080440002 
J5;PinHeader_1x03_P2.54mm_Vertical;1;Conn_01x03;
U3,U2;SOIC-8_3.9x4.9mm_P1.27mm;2;INA137UA;595-INA137UA/2K5 
U5;SOIC-8_3.9x4.9mm_P1.27mm;1;MC79L12_SO8;863-MC79L12ACDR2G 
J8,J6,J9,J7;PinHeader_1x02_P2.54mm_Vertical;4;Conn_01x02;
